Id,Label,timeset,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,weighted degree
Y. Xu,Y. Xu,,13,0.423077,33,0,6,0.396834,0.435626,0.005322,0.166558,0,23
X. Liu,X. Liu,,5,0.9,9,0,6,0.346355,0.373957,0.000007,0.069601,0,8
R. Montes,R. Montes,,14,0.197802,18,0,6,0.347847,0.380147,0.019192,0.079546,0,26
Y. Dong,Y. Dong,,27,0.22792,80,0,6,0.39989,0.445254,0.011663,0.232335,2,82
F. Herrera,F. Herrera,,213,0.032022,723,0,5,0.520401,0.614695,0.71052,1,1,680
L. Abdullah,L. Abdullah,,5,0.8,8,0,7,0.317052,0.359537,0.000003,0.061669,2,11
F.M.A. Alias,F.M.A. Alias,,3,1,3,0,7,0.316776,0.358161,0,0.056045,2,3
H. Liao,H. Liao,,23,0.197628,50,0,6,0.395109,0.438377,0.012232,0.159134,21,45
E. Herrera-Viedma,E. Herrera-Viedma,,248,0.021549,660,0,6,0.460127,0.601146,0.478254,0.964846,2,548
G. Kou,G. Kou,,21,0.32381,68,0,7,0.322824,0.373063,0.000382,0.163015,2,43
R. Ureña,R. Ureña,,7,0.809524,17,0,7,0.32083,0.363434,0.000017,0.096078,2,12
J. Wu,J. Wu,,8,0.785714,22,0,7,0.319982,0.363778,0.000015,0.109753,2,17
F. Chiclana,F. Chiclana,,46,0.138164,143,0,6,0.410039,0.464282,0.056043,0.334672,2,122
E. Martinez-Camara,E. Martinez-Camara,,7,0.857143,18,0,6,0.34341,0.370747,0.000003,0.065035,3,10
A. Valdivia,A. Valdivia,,9,0.75,27,0,6,0.343735,0.372123,0.000008,0.070928,3,21
I. Chaturvedi,I. Chaturvedi,,9,0.722222,26,0,6,0.343735,0.372123,0.000011,0.070775,3,15
M.V. Luzon,M.V. Luzon,,9,0.75,27,0,6,0.343735,0.372123,0.000008,0.070928,3,21
E. Cambria,E. Cambria,,9,0.722222,26,0,6,0.343735,0.372123,0.000011,0.070775,3,18
Y. Ong,Y. Ong,,6,1,15,0,6,0.343248,0.37006,0,0.062411,3,6
E. Hrabova,E. Hrabova,,6,1,15,0,6,0.343248,0.37006,0,0.062272,3,6
L. Troiano,L. Troiano,,6,1,15,0,6,0.343248,0.37006,0,0.062272,3,6
E. Verdu,E. Verdu,,3,1,3,0,7,0.315538,0.356098,0,0.053571,2,3
S. Cobos-Guzman,S. Cobos-Guzman,,3,1,3,0,7,0.315538,0.356098,0,0.053571,2,3
R. Gonzalez-Crespo,R. Gonzalez-Crespo,,18,0.24183,37,0,7,0.317606,0.366414,0.000217,0.108623,2,29
I. Triguero,I. Triguero,,52,0.159125,211,0,6,0.360973,0.414878,0.046416,0.325478,1,128
R. Tickle,R. Tickle,,4,1,6,0,7,0.265619,0.285809,0,0.018461,4,4
GP. Figueredo,GP. Figueredo,,4,1,6,0,7,0.265619,0.285809,0,0.018461,4,4
M. Mesgarpour,M. Mesgarpour,,4,1,6,0,7,0.265619,0.285809,0,0.018461,4,4
R. John,R. John,,5,0.7,7,0,7,0.265716,0.286497,0.000006,0.019518,4,6
F. Meng,F. Meng,,3,1,3,0,7,0.315538,0.356098,0,0.060411,2,3
J. Tang,J. Tang,,3,1,3,0,7,0.315538,0.356098,0,0.060411,2,3
F.J. Cabrerizo,F.J. Cabrerizo,,36,0.177778,112,0,6,0.39967,0.449152,0.021759,0.269065,2,76
J. Lopez-Gijon,J. Lopez-Gijon,,9,0.527778,19,0,7,0.3165,0.360454,0.000033,0.092523,2,19
P. Lazaro-Rodriguez,P. Lazaro-Rodriguez,,5,0.6,6,0,7,0.31595,0.357703,0.002751,0.05772,2,9
J. Luengo,J. Luengo,,34,0.224599,126,0,6,0.357073,0.401582,0.00561,0.24882,1,71
JR. Cano,JR. Cano,,2,1,1,0,7,0.275483,0.298556,0,0.029759,1,2
S. Garcia,S. Garcia,,73,0.112253,295,0,6,0.376879,0.440899,0.052222,0.425426,1,222
Y. Fan,Y. Fan,,4,1,6,0,7,0.320405,0.361371,0,0.074117,2,4
H. Liang,H. Liang,,5,0.9,9,0,7,0.320547,0.362059,0.000001,0.077612,2,8
